document_id,cik,company,form,filing_date,report_date,year,filing_path,raw_bytes,size_bucket,p_count,div_count,span_count,table_count,td_count,th_count,html_heading_tag_count,heading_candidate_count,heading_inside_table_count,heading_inside_table_ratio,heading_reachable_count,heading_reachable_ratio,maximum_heading_table_depth,dominant_heading_tag,dominant_text_tag,structural_signature,structural_family,current_parser_risk,parser_archetype,selection_order
sec_0000004977_0001628280-26-011402,0000004977,AFLAC INC,10-K,2026-02-25,2025-12-31,2025,sec/0000004977/0001628280-26-011402/afl-20251231.htm,8903397,very_large,0,5539,19893,215,45065,0,0,248,32,0.129,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=low|p=0|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_32c4ea5556,high,heading=span|reach=0|table=low|p=absent,61
sec_0001831097_0001628280-26-031270,0001831097,"agilon health, inc.",10-Q,2026-05-06,2026-03-31,2026,sec/0001831097/0001628280-26-031270/agl-20260331.htm,954839,medium,0,790,2148,61,4694,0,0,22,11,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,62
sec_0001446159_0001171843-26-002094,0001446159,Axe Compute Inc.,10-K,2026-03-31,2025-12-31,2025,sec/0001446159/0001171843-26-002094/poai20251231_10k.htm,1938320,medium,2842,648,75,143,5837,0,0,81,54,0.6667,27,0.3333,1,p,p,heading_tag=p|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=51_250|table=51_250|headings=51_250,SF_2df6e5bc24,medium,heading=p|reach=medium|table=medium|p=present,63
sec_0000764630_0001493152-26-014008,0000764630,"AETERNUM HEALTH, INC.",10-K,2026-03-31,2025-12-31,2025,sec/0000764630/0001493152-26-014008/form10-k.htm,652607,small,884,76,1417,58,2032,0,0,53,26,0.4906,27,0.5094,1,b,span,heading_tag=b|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=51_250,SF_9717411e0d,medium,heading=b|reach=medium|table=medium|p=present,64
sec_0000109563_0000109563-26-000033,0000109563,APPLIED INDUSTRIAL TECHNOLOGIES INC,10-K,2026-08-13,2026-06-30,2026,sec/0000109563/0000109563-26-000033/ait-20260630.htm,2071524,large,0,1416,4651,80,7604,0,0,52,27,0.5192,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_14785e5fdd,high,heading=span|reach=0|table=medium|p=absent,65
sec_0002099906_0001213900-26-035679,0002099906,Abony Acquisition Corp. I,10-K,2026-03-27,2025-12-31,2025,sec/0002099906/0001213900-26-035679/ea0282881-10k_abony1.htm,1245789,medium,2176,234,3995,202,1815,0,0,51,24,0.4706,27,0.5294,1,span,span,heading_tag=span|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=51_250,SF_2850ea0b81,medium,heading=span|reach=medium|table=medium|p=present,66
sec_0001095146_0001683168-26-001588,0001095146,Athena Bitcoin Global,10-K,2026-03-06,2025-12-31,2025,sec/0001095146/0001683168-26-001588/athena_i10k-123125.htm,2148464,large,3753,356,2195,303,9243,0,0,54,27,0.5,27,0.5,1,td,p,heading_tag=td|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=251_plus|headings=51_250,SF_ebfe8968f1,medium,heading=td|reach=medium|table=medium|p=present,67
sec_0001870940_0001870940-26-000011,0001870940,"Airsculpt Technologies, Inc.",10-K,2026-03-31,2025-12-31,2025,sec/0001870940/0001870940-26-000011/airs-20251231.htm,1856428,medium,0,2124,4463,59,5858,0,0,54,27,0.5,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=51_250,SF_14785e5fdd,high,heading=span|reach=0|table=medium|p=absent,68
sec_0001267395_0001267395-19-000008,0001267395,ASPEN INSURANCE HOLDINGS LTD,10-K,2019-02-13,2018-12-31,2018,sec/0001267395/0001267395-19-000008/ahl10-k2018doc.htm,6884440,very_large,0,26358,0,365,25577,0,0,50,37,0.74,0,0.0,1,font,div,heading_tag=font|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=0|table=251_plus|headings=11_50,SF_368fed2e95,high,heading=font|reach=0|table=medium|p=absent,69
sec_0001652935_0001683168-26-006472,0001652935,"ACTUATE THERAPEUTICS, INC.",10-Q,2026-08-14,2026-06-30,2026,sec/0001652935/0001683168-26-006472/actuate_i10q-063026.htm,627997,small,711,76,403,88,3270,0,0,20,18,0.9,2,0.1,1,b,p,heading_tag=b|heading_reach=low|heading_table=high|p=251_plus|div=51_250|span=251_plus|table=51_250|headings=11_50,SF_e6168f173f,high,heading=b|reach=low|table=high|p=present,70
sec_0001273685_0001273685-26-000069,0001273685,"ADAMAS TRUST, INC.",10-Q,2026-07-31,2026-06-30,2026,sec/0001273685/0001273685-26-000069/adam-20260630.htm,6171665,very_large,0,3990,13461,177,30886,0,0,19,9,0.4737,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,71
sec_0001362190_0001558370-25-010934,0001362190,AUDIOEYE INC,10-Q,2025-08-08,2025-06-30,2025,sec/0001362190/0001558370-25-010934/aeye-20250630x10q.htm,1591065,medium,4891,1019,2977,68,4464,0,0,31,20,0.6452,11,0.3548,1,b,p,heading_tag=b|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_7a661c471d,medium,heading=b|reach=medium|table=medium|p=present,72
sec_0000849401_0001437749-26-004097,0000849401,"ADM TRONICS UNLIMITED, INC.",10-Q,2026-02-13,2025-12-31,2025,sec/0000849401/0001437749-26-004097/admt20251231_10q.htm,955084,medium,968,191,52,32,3827,0,0,26,13,0.5,13,0.5,1,p,p,heading_tag=p|heading_reach=medium|heading_table=medium|p=251_plus|div=51_250|span=51_250|table=11_50|headings=11_50,SF_67bfaaf562,medium,heading=p|reach=medium|table=medium|p=present,73
sec_0001415311_0001193125-26-077441,0001415311,ProShares Trust II,10-K,2026-02-26,2025-12-31,2025,sec/0001415311/0001193125-26-077441/d785470d10k.htm,8416741,very_large,2697,11794,869,547,58273,0,0,54,27,0.5,12,0.2222,1,p,div,heading_tag=p|heading_reach=low|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=251_plus|headings=51_250,SF_293d6a107f,high,heading=p|reach=low|table=medium|p=present,74
sec_0001401521_0001401521-26-000029,0001401521,AMERICAN COASTAL INSURANCE Corp,10-Q,2026-05-08,2026-03-31,2026,sec/0001401521/0001401521-26-000029/acic-20260331.htm,3425834,large,7453,341,8325,71,7369,0,0,39,26,0.6667,13,0.3333,1,span,span,heading_tag=span|heading_reach=medium|heading_table=medium|p=251_plus|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_0d3781553a,medium,heading=span|reach=medium|table=medium|p=present,75
sec_0000935036_0000935036-25-000031,0000935036,"ACI WORLDWIDE, INC.",10-Q,2025-11-06,2025-09-30,2025,sec/0000935036/0000935036-25-000031/aciw-20250930.htm,1361165,medium,0,1112,3082,44,5933,0,0,15,2,0.1333,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=low|p=0|div=251_plus|span=251_plus|table=11_50|headings=11_50,SF_da0fc63e88,high,heading=span|reach=0|table=low|p=absent,76
sec_0001467373_0001467373-25-000222,0001467373,Accenture plc,10-Q,2025-12-18,2025-11-30,2025,sec/0001467373/0001467373-25-000222/acn-20251130.htm,1241861,medium,0,832,2823,77,7007,0,0,39,26,0.6667,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=medium|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_bc08016399,high,heading=span|reach=0|table=medium|p=absent,77
sec_0000821130_0000821130-26-000046,0000821130,"ARRAY DIGITAL INFRASTRUCTURE, INC.",10-Q,2026-08-07,2026-06-30,2026,sec/0000821130/0000821130-26-000046/ad-20260630.htm,1119864,medium,0,769,2636,35,5251,0,0,11,11,1.0,0,0.0,1,span,span,heading_tag=span|heading_reach=0|heading_table=high|p=0|div=251_plus|span=251_plus|table=11_50|headings=11_50,SF_4118070f34,high,heading=span|reach=0|table=high|p=absent,78
sec_0000824142_0000824142-26-000036,0000824142,"AAON, INC.",10-Q,2026-05-07,2026-03-31,2026,sec/0000824142/0000824142-26-000036/aaon-20260331.htm,1425973,medium,0,909,2993,78,9335,0,0,15,0,0.0,0,0.0,0,span,span,heading_tag=span|heading_reach=0|heading_table=0|p=0|div=251_plus|span=251_plus|table=51_250|headings=11_50,SF_eddc436353,high,heading=span|reach=0|table=0|p=absent,79
sec_0001156041_0001493152-26-012070,0001156041,"ABUNDIA GLOBAL IMPACT GROUP, INC.",10-K,2026-03-23,2025-12-31,2025,sec/0001156041/0001493152-26-012070/form10-k.htm,2008075,large,2035,175,4765,275,8821,0,0,57,53,0.9298,4,0.0702,1,span,span,heading_tag=span|heading_reach=low|heading_table=high|p=251_plus|div=51_250|span=251_plus|table=251_plus|headings=51_250,SF_93c5e6f5ad,high,heading=span|reach=low|table=high|p=present,80
sec_0001852016_0001193125-26-214649,0001852016,AltEnergy Acquisition Corp,10-Q,2026-05-08,2026-03-31,2026,sec/0001852016/0001193125-26-214649/d113374d10q.htm,745867,small,178,1366,60,44,2558,0,13,24,11,0.4583,4,0.1667,1,td,div,heading_tag=td|heading_reach=low|heading_table=medium|p=51_250|div=251_plus|span=51_250|table=11_50|headings=11_50,SF_c46b104c34,high,heading=td|reach=low|table=medium|p=present,81
